job,education,total_contacts,subscriptions,conversion_rate_pct,avg_balance
student,secondary,508,151,29.7,1260.0
retired,tertiary,366,101,27.6,2161.0
student,tertiary,223,59,26.5,1645.0
student,unknown,163,43,26.4,1475.0
retired,unknown,119,30,25.2,1503.0
retired,primary,795,178,22.4,1880.0
retired,secondary,984,207,21.0,2061.0
management,unknown,242,48,19.8,1635.0
unemployed,tertiary,289,56,19.4,1687.0
admin.,tertiary,572,99,17.3,1218.0
blue-collar,tertiary,149,24,16.1,1549.0
self-employed,tertiary,833,134,16.1,1951.0
unemployed,secondary,728,108,14.8,1433.0
management,tertiary,7801,1134,14.5,1834.0
technician,tertiary,1968,286,14.5,1511.0
unknown,unknown,127,18,14.2,1893.0
unemployed,primary,257,34,13.2,1588.0
housemaid,tertiary,173,22,12.7,1830.0
services,unknown,150,19,12.7,1683.0
services,tertiary,202,25,12.4,1211.0
